,F1,AUC-ROC,Precision,Recall
Logistic Regression,0.9678534169938263,0.9987129071288807,0.956125084167345,0.9800176600441501
Naive Bayes,0.8981176687855561,0.9867578757275671,0.8458146127602063,0.9574039735099339
Random Forest,0.9667809828584975,0.9960341698233075,0.9655777572623162,0.9680353200883003
LightGBM (Proposed),0.9722105518772259,0.9981655848206931,0.967195970761703,0.9773509933774835
