,Accuracy,F1,AUC-ROC
Logistic Regression,0.984889654638377,0.9857094850878155,0.9990668097977184
Naive Bayes,0.9491035568633525,0.9517810577966147,0.9883665906699486
Random Forest,0.9836403644623406,0.9845159731030207,0.9975912170899119
LightGBM (Proposed),0.985003484590367,0.9858098693240691,0.9988344503955389
